Div;Date;HomeTeam;AwayTeam;KEY;Home_Team Size;Home_Market Value total;Home_Market Value avg;Away_Team Size;Away_Market Value total;Away_Market Value avg;HS (Home Team Shots);AS (Away Team Shots);HAST (Home Team Shots on Target);AST (Away Team Shots on Target);HF (Home Team Fouls Committed);AF (Away Team Fouls Committed);HC (Home Team Corners);AC (Away Team Corners);HY (Home Team Yellow Cards);AY (Away Team Yellow Cards);HR (Home Team Red Cards);AR (Away Team Red Cards);Home #Win;Home #Draw;Home #Defeat;Away #Win;Away #Draw;Away #Defeat;Home goals scored;Home goals collected;Away goals scored;Away goals collected;Home Position in the table;Away Position in the table
D1;28.04.2019;1. FC Nürnberg;FC Bayern München;28.04.19_1. FC Nürnberg_FC Bayern München;29;52,60;1,81;25;770,70;30,83;185;298;53;124;189;139;86;130;31;24;0;1;3;9;18;22;4;4;24;56;79;29;17;1
D1;28.04.2019;1899 Hoffenheim;VfL Wolfsburg;28.04.19_1899 Hoffenheim_VfL Wolfsburg;26;275,75;10,61;28;177,65;6,34;316;186;104;72;189;171;98;71;26;37;0;0;13;11;6;13;7;10;65;41;48;45;6;9
D1;03.05.2019;FSV Mainz 05;RB Leipzig;03.05.19_FSV Mainz 05_RB Leipzig;31;133,00;4,29;26;432,30;16,63;258;212;70;83;191;227;67;91;31;29;0;1;10;6;15;19;7;5;37;52;59;24;12;3
D1;04.05.2019;VfL Wolfsburg;1. FC Nürnberg;04.05.19_VfL Wolfsburg_1. FC Nürnberg;27;176,90;6,55;29;52,60;1,81;210;144;82;44;154;174;95;62;23;27;0;4;14;7;10;3;10;18;52;46;25;57;8;17
D1;04.05.2019;Borussia Mönchengladbach;1899 Hoffenheim;04.05.19_Borussia Mönchengladbach_1899 Hoffenheim;29;299,60;10,33;26;275,75;10,61;255;252;86;111;137;237;99;78;17;36;0;1;15;6;10;13;11;7;49;38;66;45;5;7
D1;04.05.2019;Werder Bremen;Borussia Dortmund;04.05.19_Werder Bremen_Borussia Dortmund;28;140,75;5,03;25;602,30;24,09;252;205;84;78;182;139;84;85;22;23;1;1;12;10;9;21;6;4;53;46;74;40;9;2
D1;04.05.2019;FC Bayern München;Hannover 96;04.05.19_FC Bayern München_Hannover 96;25;772,00;30,88;31;113,70;3,67;304;163;112;57;123;164;146;64;16;35;1;4;22;5;4;4;6;21;80;30;26;66;1;18
D1;04.05.2019;Hertha BSC Berlin;VfB Stuttgart;04.05.19_Hertha BSC Berlin_VfB Stuttgart;31;203,50;6,56;27;160,20;5,93;195;165;73;39;212;161;71;75;32;34;2;3;9;10;12;6;6;19;41;48;28;67;11;16
D1;05.05.2019;Bayer 04 Leverkusen;Eintracht Frankfurt;05.05.19_Bayer 04 Leverkusen_Eintracht Frankfurt;25;387,25;15,49;34;261,70;7,70;267;178;100;64;154;187;104;69;21;31;0;1;16;3;12;15;9;7;57;49;58;35;6;4
D1;05.05.2019;FC Schalke 04;FC Augsburg;05.05.19_FC Schalke 04_FC Augsburg;30;239,80;7,99;32;113,05;3,53;215;195;60;62;197;212;66;58;32;32;4;1;8;6;17;8;7;16;36;54;47;59;15;14
