KEY;FTHG (Full Time Home Team Goals9;FTAG (Full Time Away Team Goals);FTR (Full Time Result);HTHG (Half Time Home Team Goals);HTAG (Half Time Away Team Goals);HTR (Half Time Result)
21.10.18_Borussia Mönchengladbach_FSV Mainz 05;4;0;Home Win;1;0;Home Win
26.10.18_SC Freiburg_Borussia Mönchengladbach;3;1;Home Win;1;1;Draw
27.10.18_Borussia Dortmund_Hertha BSC Berlin;2;2;Draw;1;1;Draw
27.10.18_Fortuna Düsseldorf_VfL Wolfsburg;0;3;Away Win;0;1;Away Win
27.10.18_Hannover 96_FC Augsburg;1;2;Away Win;0;1;Away Win
27.10.18_1899 Hoffenheim_VfB Stuttgart;4;0;Home Win;0;0;Draw
27.10.18_FSV Mainz 05_FC Bayern München;1;2;Away Win;0;1;Away Win
28.10.18_1. FC Nürnberg_Eintracht Frankfurt;1;1;Draw;0;0;Draw
28.10.18_RB Leipzig_FC Schalke 04;0;0;Draw;0;0;Draw
28.10.18_Werder Bremen_Bayer 04 Leverkusen;2;6;Away Win;0;3;Away Win
02.11.18_VfB Stuttgart_Eintracht Frankfurt;0;3;Away Win;0;2;Away Win
03.11.18_FC Augsburg_1. FC Nürnberg;2;2;Draw;1;0;Home Win
03.11.18_FC Bayern München_SC Freiburg;1;1;Draw;0;0;Draw
03.11.18_Hertha BSC Berlin_RB Leipzig;0;3;Away Win;0;1;Away Win
03.11.18_Bayer 04 Leverkusen_1899 Hoffenheim;1;4;Away Win;1;2;Away Win
03.11.18_FC Schalke 04_Hannover 96;3;1;Home Win;0;0;Draw
03.11.18_VfL Wolfsburg_Borussia Dortmund;0;1;Away Win;0;1;Away Win
04.11.18_FSV Mainz 05_Werder Bremen;2;1;Home Win;1;0;Home Win
04.11.18_Borussia Mönchengladbach_Fortuna Düsseldorf;3;0;Home Win;0;0;Draw
09.11.18_Hannover 96_VfL Wolfsburg;2;1;Home Win;1;0;Home Win
10.11.18_Borussia Dortmund_FC Bayern München;3;2;Home Win;0;1;Away Win
10.11.18_Fortuna Düsseldorf_Hertha BSC Berlin;4;1;Home Win;0;0;Draw
10.11.18_SC Freiburg_FSV Mainz 05;1;3;Away Win;0;2;Away Win
10.11.18_1899 Hoffenheim_FC Augsburg;2;1;Home Win;0;0;Draw
10.11.18_1. FC Nürnberg_VfB Stuttgart;0;2;Away Win;0;0;Draw
10.11.18_Werder Bremen_Borussia Mönchengladbach;1;3;Away Win;0;1;Away Win
11.11.18_Eintracht Frankfurt_FC Schalke 04;3;0;Home Win;0;0;Draw
11.11.18_RB Leipzig_Bayer 04 Leverkusen;3;0;Home Win;1;0;Home Win
23.11.18_Bayer 04 Leverkusen_VfB Stuttgart;2;0;Home Win;0;0;Draw
24.11.18_FC Augsburg_Eintracht Frankfurt;1;3;Away Win;0;1;Away Win
24.11.18_FC Bayern München_Fortuna Düsseldorf;3;3;Draw;2;1;Home Win
24.11.18_Hertha BSC Berlin_1899 Hoffenheim;3;3;Draw;1;2;Away Win
24.11.18_FSV Mainz 05_Borussia Dortmund;1;2;Away Win;0;0;Draw
24.11.18_FC Schalke 04_1. FC Nürnberg;5;2;Home Win;2;1;Home Win
24.11.18_VfL Wolfsburg_RB Leipzig;1;0;Home Win;0;0;Draw
25.11.18_SC Freiburg_Werder Bremen;1;1;Draw;1;0;Home Win
25.11.18_Borussia Mönchengladbach_Hannover 96;4;1;Home Win;2;1;Home Win
30.11.18_Fortuna Düsseldorf_FSV Mainz 05;0;1;Away Win;0;0;Draw
01.12.18_Borussia Dortmund_SC Freiburg;2;0;Home Win;1;0;Home Win
01.12.18_Hannover 96_Hertha BSC Berlin;0;2;Away Win;0;1;Away Win
01.12.18_1899 Hoffenheim_FC Schalke 04;1;1;Draw;0;0;Draw
01.12.18_VfB Stuttgart_FC Augsburg;1;0;Home Win;1;0;Home Win
01.12.18_Werder Bremen_FC Bayern München;1;2;Away Win;1;1;Draw
02.12.18_Eintracht Frankfurt_VfL Wolfsburg;1;2;Away Win;0;1;Away Win
02.12.18_RB Leipzig_Borussia Mönchengladbach;2;0;Home Win;2;0;Home Win
03.12.18_1. FC Nürnberg_Bayer 04 Leverkusen;1;1;Draw;0;1;Away Win
07.12.18_Werder Bremen_Fortuna Düsseldorf;3;1;Home Win;1;1;Draw
08.12.18_FC Bayern München_1. FC Nürnberg;3;0;Home Win;2;0;Home Win
08.12.18_SC Freiburg_RB Leipzig;3;0;Home Win;2;0;Home Win
